Gene7	Gene8	0.6336136478855939
Gene8	Gene7	0.6336136478855939
Gene1	Gene8	0.5821240548227293
Gene8	Gene1	0.5821240548227293
Gene1	Gene7	0.5283363474218068
Gene7	Gene1	0.5283363474218068
Gene7	Gene10	0.42390295299205377
Gene10	Gene7	0.42390295299205377
Gene8	Gene10	0.42149248919118504
Gene10	Gene8	0.42149248919118504
Gene1	Gene10	0.4034381054113569
Gene10	Gene1	0.4034381054113569
Gene10	Gene14	0.309443741813997
Gene14	Gene10	0.309443741813997
Gene7	Gene14	0.2677439779430135
Gene14	Gene7	0.2677439779430135
Gene8	Gene13	0.25994552569442847
Gene13	Gene8	0.25994552569442847
Gene1	Gene5	0.2393725683715061
Gene5	Gene1	0.2393725683715061
Gene8	Gene15	0.23871729804253763
Gene15	Gene8	0.23871729804253763
Gene1	Gene14	0.22622191066031017
Gene14	Gene1	0.22622191066031017
Gene1	Gene13	0.2159841689182281
Gene13	Gene1	0.2159841689182281
Gene9	Gene18	0.21412104018137396
Gene18	Gene9	0.21412104018137396
Gene2	Gene10	0.20917086067982055
Gene10	Gene2	0.20917086067982055
Gene4	Gene14	0.20180053234002213
Gene14	Gene4	0.20180053234002213
